ephi_pca.sample.id	pop1	EV1	EV2
ORME040631-EPHI-622I-1	Metehara	-0.0205529730526555	-0.00972168982165975
SNSE072105-EPHI-622I-1	Secha	-0.0235414256349227	-0.00488984995583736
ORME040627-EPHI-622I-1	Metehara	-0.0265036759629939	-0.0337592054129698
SOER052745-EPHI-622I-1	Erer	-0.0315983826045003	-0.0363129681923567
ORME040626-EPHI-622I-1	Metehara	-0.0250883864709133	-0.0239660244409732
ORME040625-EPHI-622I-1	Metehara	-0.0315957206800001	-0.0363141333363468
ORME040624-EPHI-622I-1	Metehara	-0.0278062547008292	-0.0216083729664499
SOER052762-EPHI-622I-1	Erer	0.0101045241285993	-0.00396735758428667
ORME040623-EPHI-622I-1	Metehara	-0.0276089432944263	-0.0217387405719844
ORME040622-EPHI-622I-1	Metehara	-0.016937703133101	-0.00889811477899468
ORME040621-EPHI-622I-1	Metehara	-0.0266675913680949	-0.0203424638903133
ORME040616-EPHI-622I-1	Metehara	-0.00571665480286335	0.0165790475162235
ORME040615-EPHI-622I-1	Metehara	0.0302370975414451	0.0355860181154487
ORME040612-EPHI-622I-1	Metehara	-0.03159572068	-0.0363141333363468
ORME040608-EPHI-622I-1	Metehara	-0.0278932035141634	-0.0217798989056978
ORME040605-EPHI-622I-1	Metehara	-0.027877839682582	-0.0217833406347336
ORME040603-EPHI-622I-1	Metehara	-0.00725532306896289	-0.0128012323949043
SOER052744-EPHI-622I-1	Erer	0.00200733775764075	-0.00654090204197358
ORME040601-EPHI-622I-1	Metehara	0.0285151507268435	0.00464050243447381
ORME040655-EPHI-622I-1	Metehara	-0.0467002210932307	-0.0174402923010787
ORBA040336-EPHI-622I-1	Batu	-0.0201570569579493	-0.0241350664420178
ORBA040334-EPHI-622I-1	Batu	-0.025596481262462	-0.032360549410411
ORBA040330-EPHI-622I-1	Batu	0.00267780923699524	0.0459400860470048
ORBA040327-EPHI-622I-1	Batu	-0.0300167257480829	-0.00899211996818378
ORBA040324-EPHI-622I-1	Batu	-0.0298394431818665	-0.0105668396726757
ORBA040322-EPHI-622I-1	Batu	-0.0467002210932307	-0.0174402923010787
ORBA040317-EPHI-622I-1	Batu	-0.0113977551376954	-0.00661000546159022
ORBA040314-EPHI-622I-1	Batu	-0.0300837565301037	-0.0347407553937406
ORBA040313-EPHI-622I-1	Batu	-0.0300837565301036	-0.0347407553937406
ORBA040310-EPHI-622I-1	Batu	-0.0131464115080223	-0.0182090199085495
ORBA040308-EPHI-622I-1	Batu	-0.0467002210932307	-0.0174402923010787
ORME040637-EPHI-622I-1	Metehara	0.0308003765560117	0.0371953602582866
ORBA040306-EPHI-622I-1	Batu	-0.0258800991044939	-0.0246082612353141
ORBA040304-EPHI-622I-1	Batu	0.0144172092880165	-0.0154950696046922
SOER052773-EPHI-622I-1	Erer	-0.0210553812123679	0.0114321390488432
ORBA040303-EPHI-622I-1	Batu	-0.043177430173694	-0.0266204635485999
ORBA040301-EPHI-622I-1	Batu	-0.03159572068	-0.0363141333363469
ORAS040031-EPHI-622I-1	Asendabo	-0.0467002210932307	-0.0174402923010787
ORAS040029-EPHI-622I-1	Asendabo	-0.0101798408742981	0.0210827414805543
SNSE072125-EPHI-622I-1	Secha	0.0050393057867973	0.00135882952638845
ORAS040028-EPHI-622I-1	Asendabo	-0.0249253972028238	-0.0148255924790036
ORAS040023-EPHI-622I-1	Asendabo	0.00286515798854286	0.00538505355927263
ORAS040019-EPHI-622I-1	Asendabo	-0.0249253972028238	-0.0148255924790036
ORAS040018-EPHI-622I-1	Asendabo	-0.0159311776404093	0.00133162878777286
ORAS040015-EPHI-622I-1	Asendabo	-0.0105674758005486	-0.0225453928436967
ORAS040012-EPHI-622I-1	Asendabo	-0.0310763096011849	0.0434056353160792
ORAS040010-EPHI-622I-1	Asendabo	-0.0365713312259243	-0.018201546009502
ORME040672-EPHI-622I-1	Metehara	0.0307876861482199	0.0371951913341193
ORAS040007-EPHI-622I-1	Asendabo	-0.0356706085573478	-0.0179958261934919
ORAS040006-EPHI-622I-1	Asendabo	-0.00151574814215555	-0.00384357328814691
ORAS040002-EPHI-622I-1	Asendabo	0.0203436193520868	0.00727797462005336
GAAB092563-EPHI-622I-1	Abol	0.0498497720019437	-0.0101399985153623
GAAB092561-EPHI-622I-1	Abol	0.0421769433603877	0.012111273900666
GAAB092560-EPHI-622I-1	Abol	0.0637442123660799	-0.0149385271107737
GAAB092548-EPHI-622I-1	Abol	0.0751865606045592	-0.0253329447991713
GAAB092547-EPHI-622I-1	Abol	0.0867723627999092	-0.0205881597688697
GAAB092546-EPHI-622I-1	Abol	0.0691311606212636	-0.0236111738965112
GAAB092545-EPHI-622I-1	Abol	0.0976640031265392	-0.0166712219545983
GAAB092543-EPHI-622I-1	Abol	0.0912345129251096	-0.0256584702131943
GAAB092542-EPHI-622I-1	Abol	-0.0042124421335913	-0.0302420754648585
GAAB092541-EPHI-622I-1	Abol	0.0315283320629203	0.00566811498476579
GAAB092540-EPHI-622I-1	Abol	0.111590875159975	-0.0114033546930345
GAAB092539-EPHI-622I-1	Abol	0.0595612939923876	-0.0088763504124752
GAAB092535-EPHI-622I-1	Abol	0.0582807778725336	-0.0150615559350601
GAAB092532-EPHI-622I-1	Abol	0.0625976845703344	-0.0145997498611875
GAAB092531-EPHI-622I-1	Abol	0.0243898835233545	0.0321111973658351
GAAB092526-EPHI-622I-1	Abol	0.0645031049376632	-0.0108605856524304
GAAB092524-EPHI-622I-1	Abol	0.0781259569210096	-0.011029039397715
GAAB092523-EPHI-622I-1	Abol	0.0759948402741087	-0.00490904078476353
GAAB092519-EPHI-622I-1	Abol	0.0607027326104813	-0.00336005644469977
GAAB092517-EPHI-622I-1	Abol	0.0739161783337062	-0.0176989941453282
GAAB092514-EPHI-622I-1	Abol	0.0572240823351345	-0.00505670679724891
SNSE072101-EPHI-622I-1	Secha	-0.0161531268432949	-0.0316721978143861
ORME040620-EPHI-622I-1	Metehara	-0.0287915485919865	-0.020284650043527
GAAB092513-EPHI-622I-1	Abol	0.103298613913238	-0.00206704306204132
GAAB092508-EPHI-622I-1	Abol	0.083715748843578	-0.023165536640005
GAAB092507-EPHI-622I-1	Abol	0.0369636290855214	0.00794300712992211
SOER052743-EPHI-622I-1	Erer	0.000164573607372829	-0.00109549949798768
GAAB092506-EPHI-622I-1	Abol	0.0332982126072557	0.0202748046784276
ORBA040323-EPHI-622I-1	Batu	-0.0298394431818665	-0.0105668396726757
GAAB092505-EPHI-622I-1	Abol	-0.00503893917199729	-0.0316238534407427
GAAB092504-EPHI-622I-1	Abol	0.0289048279553836	0.017372469301022
SOER052727-EPHI-622I-1	Erer	-0.0328057142136853	-0.0355966054527037
ORME040607-EPHI-622I-1	Metehara	-0.000908758287400896	-0.0242621018738588
GAAB092502-EPHI-622I-1	Abol	0.061767931260276	-0.0127394218665649
GAAB092501-EPHI-622I-1	Abol	0.0645176503336884	0.00616328617777616
GAAB092499-EPHI-622I-1	Abol	0.0360437368059196	-0.00278019109201015
SNSE072140-EPHI-622I-1	Secha	-0.0042290637683965	-0.0094731806808451
GAAB092496-EPHI-622I-1	Abol	0.0334436574277519	-0.0140566110600693
GAAB092493-EPHI-622I-1	Abol	0.0767445064689207	-0.0214260840765594
GAAB092492-EPHI-622I-1	Abol	0.0718827125818578	-0.0141403922363273
GAAB092490-EPHI-622I-1	Abol	0.0686035611632304	-0.00998713841455918
GAAB092487-EPHI-622I-1	Abol	0.0336033563764832	0.0203254168541747
GAAB092484-EPHI-622I-1	Abol	0.0370321832769028	-0.00861158693331424
GAAB092479-EPHI-622I-1	Abol	0.0782812451124988	-0.0119432110454853
SOER052704-EPHI-622I-1	Erer	0.0307876861482199	0.0371951913341193
GAAB092478-EPHI-622I-1	Abol	0.0851974269309242	-0.010803086487713
ORME040606-EPHI-622I-1	Andansa	0.00225797712839647	-0.00622835435213072
GAAB092491-EPHI-622I-1	Abol	0.0478041299015604	-0.00855611378919369
GAAB092476-EPHI-622I-1	Abol	0.0591074194637463	-0.000403966846627463
GAAB092474-EPHI-622I-1	Abol	0.0693141249699678	-0.00462968703469311
GAAB092473-EPHI-622I-1	Abol	0.0703364386888727	0.000717339970837945
SNSE072106-EPHI-622I-1	Secha	-0.0214983265429887	-0.00825647651625234
GAAB092469-EPHI-622I-1	Abol	0.0738800261385006	-0.00509219975920847
GAAB092466-EPHI-622I-1	Abol	0.0823674433261616	-0.0206347515704999
GAAB092463-EPHI-622I-1	Abol	0.0938857830821924	-0.0332660891704297
GAAB092461-EPHI-622I-1	Abol	0.0392643864081507	0.0181780176435281
GAAB092459-EPHI-622I-1	Abol	0.0609024181016834	-0.00475094281413996
GAAB092457-EPHI-622I-1	Abol	0.0739028273996704	-0.00782174175210213
GAAB092455-EPHI-622I-1	Abol	0.0758979652328681	-0.0282525079432636
GAAB092454-EPHI-622I-1	Abol	0.0817502452745225	-0.0316184189970436
GAAB092453-EPHI-622I-1	Abol	0.0568868355834438	0.000830664446199319
GAAB092450-EPHI-622I-1	Abol	0.0847999192639897	-0.0213127013099081
GAAB092449-EPHI-622I-1	Abol	0.0576738867056169	-0.01995016101187
GAAB092446-EPHI-622I-1	Abol	0.0328722029246353	-0.00509655948633602
SNSE072147-EPHI-622I-1	Secha	-0.00925707418997915	0.0101005516464852
GAAB092445-EPHI-622I-1	Abol	0.0833442746552064	-0.0094994092051006
ORBA040316-EPHI-622I-1	Batu	-0.03159572068	-0.0363141333363469
GAAB092442-EPHI-622I-1	Abol	0.0646182678163944	-0.0281438751049787
GAAB092441-EPHI-622I-1	Abol	0.024519782624865	0.0121772202778008
SND1071822-EPHI-622I-1	Dila	-0.0195339421452839	-0.0132029913627853
GAAB092483-EPHI-622I-1	Abol	0.0360110606593121	0.0137584368143382
GAAB092439-EPHI-622I-1	Abol	0.10731056150942	-0.0395077769524689
GAAB092458-EPHI-622I-1	Abol	0.0815831967555163	-0.0235892750563716
